"filename", "language", "Python", "XML", "SQL", "C#", "JSON", "Properties", "comment", "blank", "total"
"d:\新系统开发\OilSystem\.vs\OilSystem\config\applicationhost.config", "XML", 0, 913, 0, 0, 0, 0, 61, 53, 1027
"d:\新系统开发\OilSystem\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\新系统开发\OilSystem\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\新系统开发\OilSystem\.vs\tasks.vs.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 10
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Diesel\CompOilConfig.cs", "C#", 0, 0, 0, 21, 0, 0, 1, 4, 26
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Diesel\Dispatch.cs", "C#", 0, 0, 0, 1518, 0, 0, 35, 89, 1642
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Diesel\MenuList.cs", "C#", 0, 0, 0, 57, 0, 0, 1, 4, 62
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Diesel\ProdOilConfig.cs", "C#", 0, 0, 0, 21, 0, 0, 5, 3, 29
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Diesel\PropertyApply.cs", "C#", 0, 0, 0, 21, 0, 0, 2, 3, 26
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Diesel\RecipeCalc.cs", "C#", 0, 0, 0, 1092, 0, 0, 951, 487, 2530
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Diesel\SchemeVerify.cs", "C#", 0, 0, 0, 1864, 0, 0, 422, 353, 2639
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Gas\CompOilConfig.cs", "C#", 0, 0, 0, 21, 0, 0, 1, 4, 26
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Gas\Dispatch.cs", "C#", 0, 0, 0, 1518, 0, 0, 35, 89, 1642
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Gas\MenuList.cs", "C#", 0, 0, 0, 42, 0, 0, 16, 4, 62
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Gas\ProdOilConfig.cs", "C#", 0, 0, 0, 21, 0, 0, 5, 3, 29
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Gas\PropertyApply.cs", "C#", 0, 0, 0, 21, 0, 0, 2, 3, 26
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Gas\RecipeCalc.cs", "C#", 0, 0, 0, 1092, 0, 0, 951, 487, 2530
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\Gas\SchemeVerify.cs", "C#", 0, 0, 0, 1864, 0, 0, 422, 353, 2639
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Implementation\lpsolve55.cs", "C#", 0, 0, 0, 691, 0, 0, 6, 20, 717
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Diesel\ICompOilConfig.cs", "C#", 0, 0, 0, 9, 0, 0, 10, 7, 26
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Diesel\IDispatch.cs", "C#", 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Diesel\IMenuList.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Diesel\IProdOilConfig.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Diesel\IProperty.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Diesel\IRecipeCalc.cs", "C#", 0, 0, 0, 26, 0, 0, 0, 2, 28
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Diesel\ISchemeVerify.cs", "C#", 0, 0, 0, 26, 0, 0, 0, 3, 29
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Gas\ICompOilConfig.cs", "C#", 0, 0, 0, 9, 0, 0, 10, 7, 26
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Gas\IDispatch.cs", "C#", 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Gas\IMenuList.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Gas\IProdOilConfig.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Gas\IProperty.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Gas\IRecipeCalc.cs", "C#", 0, 0, 0, 26, 0, 0, 0, 2, 28
"d:\新系统开发\OilSystem\OilBlendSystem.BLL\Interface\Gas\ISchemeVerify.cs", "C#", 0, 0, 0, 26, 0, 0, 0, 3, 29
